word,cefr_level,frequency,Pos
e,A1,7389373.0,conj
non,A1,6257811.0,adv
che,A1,6063914.0,pron
che,A1,6063914.0,conj
che,A1,6063914.0,adj
che,A1,6063914.0,pron
che,A1,6063914.0,pron
che,A1,6063914.0,conj
che,A1,6063914.0,adj
che,A1,6063914.0,pron
che,A1,6063914.0,pron
che,A1,6063914.0,conj
che,A1,6063914.0,adj
che,A1,6063914.0,pron
di,A1,5880995.0,prep
la,A1,3887197.0,pron
a,A1,3451723.0,prep
a,A1,3451723.0,n
a,A1,3451723.0,prep
a,A1,3451723.0,n
per,A1,2866558.0,prep
in,A1,2156931.0,prep
mi,A1,2013071.0,pron
si,A1,1772472.0,pron
si,A1,1772472.0,n
ma,A1,1650248.0,conj
cosa,A1,1462858.0,n
cosa,A1,1462858.0,pron
con,A1,1440540.0,prep
no,A1,1433410.0,adv
no,A1,1433410.0,n
le,A1,1425870.0,det
le,A1,1425870.0,pron
le,A1,1425870.0,det
le,A1,1425870.0,pron
ti,A1,1405833.0,pron
se,A1,1328637.0,conj
se,A1,1328637.0,pron
se,A1,1328637.0,conj
se,A1,1328637.0,pron
da,A1,1309931.0,prep
come,A1,1248657.0,prep
come,A1,1248657.0,conj
come,A1,1248657.0,adv
come,A1,1248657.0,prep
come,A1,1248657.0,conj
come,A1,1248657.0,adv
come,A1,1248657.0,prep
come,A1,1248657.0,conj
come,A1,1248657.0,adv
io,A1,1147459.0,pron
ci,A1,1131202.0,adv
ci,A1,1131202.0,pron
ci,A1,1131202.0,adv
ci,A1,1131202.0,pron
questo,A1,1011634.0,adj
questo,A1,1011634.0,pron
questo,A1,1011634.0,adj
questo,A1,1011634.0,pron
bene,A1,978877.0,adv
bene,A1,978877.0,n
bene,A1,978877.0,int
bene,A1,978877.0,adv
bene,A1,978877.0,n
bene,A1,978877.0,int
qui,A1,927883.0,adv
sei,A1,921410.0,num
tu,A1,847129.0,pron
solo,A1,791998.0,adv
solo,A1,791998.0,adj
solo,A1,791998.0,adv
solo,A1,791998.0,adj
mio,A1,752241.0,adj
mio,A1,752241.0,pron
me,A1,742942.0,pron
tutto,A1,704866.0,adj
tutto,A1,704866.0,pron
tutto,A1,704866.0,n
tutto,A1,704866.0,adj
tutto,A1,704866.0,pron
tutto,A1,704866.0,n
te,A1,681861.0,pron
fatto,A1,599010.0,n
fare,A1,583810.0,v
essere,A1,582628.0,v
essere,A1,582628.0,n
quando,A1,566220.0,conj
quando,A1,566220.0,adv
quando,A1,566220.0,conj
quando,A1,566220.0,adv
sì,A1,561011.0,adv
ora,A1,559590.0,adv
ora,A1,559590.0,n
ora,A1,559590.0,adv
ora,A1,559590.0,n
lei,A1,554384.0,pron
gli,A1,550741.0,det
gli,A1,550741.0,pron
gli,A1,550741.0,det
gli,A1,550741.0,pron
ne,A1,545511.0,pron
ne,A1,545511.0,adv
quello,A1,485627.0,adj
quello,A1,485627.0,pron
quello,A1,485627.0,adj
quello,A1,485627.0,pron
mai,A1,477108.0,adv
o,A1,468425.0,conj
anche,A1,467913.0,adv
anche,A1,467913.0,conj
anche,A1,467913.0,adv
anche,A1,467913.0,conj
stato,A1,462618.0,n
grazie,A1,436103.0,int
grazie,A1,436103.0,n
chi,A1,432988.0,pron
molto,A1,430250.0,adv
molto,A1,430250.0,pron
molto,A1,430250.0,adj
molto,A1,430250.0,adv
molto,A1,430250.0,pron
molto,A1,430250.0,adj
più,A1,424219.0,adv
più,A1,424219.0,adj
più,A1,424219.0,adv
più,A1,424219.0,adj
perché,A1,417508.0,conj
perché,A1,417508.0,adv
perché,A1,417508.0,n
tuo,A1,415427.0,pron
tuo,A1,415427.0,adj
sia,A1,410543.0,conj
lui,A1,400840.0,pron
allora,A1,394873.0,adv
allora,A1,394873.0,conj
allora,A1,394873.0,adj
allora,A1,394873.0,adv
allora,A1,394873.0,conj
allora,A1,394873.0,adj
prima,A1,387026.0,adv
prima,A1,387026.0,n
suo,A1,381756.0,adj
suo,A1,381756.0,pron
niente,A1,376096.0,adv
niente,A1,376096.0,pron
qualcosa,A1,375353.0,pron
davvero,A1,362026.0,adv
ancora,A1,357766.0,adv
fa,A1,356906.0,adv
così,A1,351367.0,adv
così,A1,351367.0,conj
casa,A1,349304.0,n
uno,A1,345353.0,num
uno,A1,345353.0,pron
uno,A1,345353.0,n
dove,A1,344643.0,adv
su,A1,340528.0,prep
su,A1,340528.0,adv
noi,A1,329262.0,pron
due,A1,328195.0,num
quindi,A1,327478.0,adv
quindi,A1,327478.0,conj
quindi,A1,327478.0,adv
quindi,A1,327478.0,conj
dire,A1,315462.0,v
sempre,A1,293460.0,adv
altro,A1,292721.0,adj
altro,A1,292721.0,pron
altro,A1,292721.0,adj
altro,A1,292721.0,pron
andare,A1,289404.0,v
loro,A1,278369.0,adj
loro,A1,278369.0,pron
loro,A1,278369.0,adj
loro,A1,278369.0,pron
forse,A1,270956.0,adv
li,A1,268514.0,det
li,A1,268514.0,pron
li,A1,268514.0,det
li,A1,268514.0,pron
proprio,A1,265256.0,n
proprio,A1,265256.0,adv
proprio,A1,265256.0,adj
proprio,A1,265256.0,n
proprio,A1,265256.0,adv
proprio,A1,265256.0,adj
proprio,A1,265256.0,n
proprio,A1,265256.0,adv
proprio,A1,265256.0,adj
certo,A1,264768.0,adj
certo,A1,264768.0,adv
certo,A1,264768.0,adj
certo,A1,264768.0,adv
tempo,A1,260978.0,n
poi,A1,254985.0,adv
vita,A1,248223.0,n
quanto,A1,244964.0,pron
quanto,A1,244964.0,adv
quanto,A1,244964.0,det
quanto,A1,244964.0,pron
quanto,A1,244964.0,adv
quanto,A1,244964.0,det
fuori,A1,244593.0,adv
fuori,A1,244593.0,prep
parte,A1,237878.0,n
visto,A1,237793.0,n
qualcuno,A1,232548.0,pron
lavoro,A1,227975.0,n
ciao,A1,225358.0,int
volta,A1,224925.0,n
dopo,A1,219627.0,prep
dopo,A1,219627.0,adv
dopo,A1,219627.0,conj
adesso,A1,217200.0,adv
uomo,A1,216269.0,n
padre,A1,211947.0,n
bisogno,A1,207740.0,n
amico,A1,205236.0,n
amico,A1,205236.0,adj
posto,A1,201344.0,n
nessuno,A1,198499.0,pron
via,A1,196759.0,n
via,A1,196759.0,adv
via,A1,196759.0,n
via,A1,196759.0,adv
meglio,A1,190791.0,adv
